%19-Mar-2019 15:41:33
%Comment: Enter a comment
%--------------------------------------------- 
%                   Setup 
%--------------------------------------------- 
%Number of measurements stored in this file: 1
%Center Frequency: 1.5GHz
%Center Frequency: 1.5GHz
%Number of Averages: 4 
%Start Pos: 0 degrees
%Stop Pos: 0 degrees
%Polarizations in order: VVHH 
%Columns of real and imaginary data. Col 1 = real, col 2 = imaginary. If more than 2 columns, odd columns are real and even columns are imaginary. 
%Az: 0 ================== 
0.0000005 0.0000008 -0.0000004 0.0000002 
-0.0000001 0.0000008 -0.0000005 -0.0000000 
-0.0000005 0.0000005 -0.0000004 -0.0000003 
-0.0000005 0.0000002 -0.0000002 -0.0000005 
-0.0000005 -0.0000000 0.0000001 -0.0000004 
-0.0000005 -0.0000002 0.0000002 -0.0000003 
-0.0000004 -0.0000004 0.0000002 -0.0000002 
-0.0000000 -0.0000005 0.0000003 -0.0000002 
0.0000002 -0.0000004 0.0000004 -0.0000000 
0.0000002 -0.0000002 0.0000004 0.0000003 
0.0000002 -0.0000003 0.0000002 0.0000005 
0.0000005 -0.0000003 -0.0000001 0.0000005 
0.0000007 0.0000001 -0.0000003 0.0000004 
0.0000006 0.0000006 -0.0000003 0.0000002 
0.0000001 0.0000008 -0.0000004 0.0000001 
-0.0000004 0.0000006 -0.0000005 -0.0000001 
-0.0000005 0.0000003 -0.0000004 -0.0000004 
-0.0000005 0.0000001 -0.0000001 -0.0000006 
-0.0000006 -0.0000001 0.0000002 -0.0000004 
-0.0000005 -0.0000004 0.0000003 -0.0000003 
-0.0000002 -0.0000006 0.0000004 -0.0000002 
0.0000001 -0.0000006 0.0000005 -0.0000001 
0.0000003 -0.0000004 0.0000005 0.0000002 
0.0000003 -0.0000003 0.0000003 0.0000005 
0.0000005 -0.0000002 0.0000000 0.0000006 
0.0000007 0.0000000 -0.0000002 0.0000005 
0.0000007 0.0000005 -0.0000004 0.0000003 
0.0000002 0.0000008 -0.0000005 0.0000002 
-0.0000003 0.0000007 -0.0000006 -0.0000001 
-0.0000005 0.0000004 -0.0000005 -0.0000004 
-0.0000005 0.0000002 -0.0000002 -0.0000007 
-0.0000006 0.0000001 0.0000002 -0.0000006 
-0.0000007 -0.0000002 0.0000004 -0.0000003 
-0.0000004 -0.0000006 0.0000004 -0.0000002 
0.0000000 -0.0000007 0.0000004 -0.0000001 
0.0000003 -0.0000005 0.0000006 0.0000001 
0.0000004 -0.0000003 0.0000005 0.0000004 
0.0000005 -0.0000003 0.0000002 0.0000007 
0.0000007 -0.0000001 -0.0000002 0.0000006 
0.0000008 0.0000004 -0.0000004 0.0000004 
0.0000004 0.0000009 -0.0000005 0.0000003 
-0.0000002 0.0000009 -0.0000007 0.0000000 
-0.0000005 0.0000006 -0.0000007 -0.0000004 
-0.0000005 0.0000003 -0.0000004 -0.0000007 
-0.0000006 0.0000002 0.0000001 -0.0000007 
-0.0000008 -0.0000001 0.0000004 -0.0000005 
-0.0000006 -0.0000006 0.0000004 -0.0000003 
-0.0000002 -0.0000008 0.0000005 -0.0000002 
0.0000002 -0.0000006 0.0000007 -0.0000001 
0.0000002 -0.0000005 0.0000008 0.0000004 
0.0000005 -0.0000006 0.0000004 0.0000008 
0.0000009 -0.0000004 -0.0000001 0.0000009 
0.0000011 0.0000003 -0.0000005 0.0000007 
0.0000006 0.0000009 -0.0000007 0.0000003 
-0.0000001 0.0000009 -0.0000008 0.0000000 
-0.0000003 0.0000005 -0.0000008 -0.0000003 
-0.0000001 0.0000004 -0.0000006 -0.0000007 
-0.0000003 0.0000007 -0.0000002 -0.0000008 
-0.0000009 0.0000006 0.0000002 -0.0000008 
-0.0000011 0.0000000 0.0000005 -0.0000008 
-0.0000010 -0.0000004 0.0000009 -0.0000006 
-0.0000011 -0.0000008 0.0000014 -0.0000001 
-0.0000011 -0.0000019 0.0000014 0.0000009 
0.0000005 -0.0000033 0.0000005 0.0000018 
0.0000036 -0.0000025 -0.0000009 0.0000016 
0.0000050 0.0000016 -0.0000017 0.0000005 
0.0000017 0.0000055 -0.0000013 -0.0000008 
-0.0000040 0.0000042 -0.0000000 -0.0000013 
-0.0000053 -0.0000021 0.0000010 -0.0000005 
0.0000005 -0.0000061 0.0000010 0.0000009 
0.0000073 -0.0000016 -0.0000004 0.0000019 
0.0000058 0.0000078 -0.0000026 0.0000011 
-0.0000049 0.0000113 -0.0000035 -0.0000017 
-0.0000146 0.0000028 -0.0000014 -0.0000050 
-0.0000125 -0.0000114 0.0000035 -0.0000055 
0.0000009 -0.0000183 0.0000075 -0.0000014 
0.0000148 -0.0000118 0.0000069 0.0000052 
0.0000187 0.0000028 0.0000010 0.0000093 
0.0000109 0.0000148 -0.0000063 0.0000073 
-0.0000022 0.0000173 -0.0000097 0.0000004 
-0.0000124 0.0000107 -0.0000066 -0.0000066 
-0.0000153 -0.0000001 0.0000003 -0.0000088 
-0.0000107 -0.0000093 0.0000062 -0.0000051 
-0.0000020 -0.0000129 0.0000071 0.0000013 
0.0000059 -0.0000103 0.0000028 0.0000057 
0.0000099 -0.0000041 -0.0000028 0.0000048 
0.0000097 0.0000023 -0.0000050 -0.0000002 
0.0000065 0.0000072 -0.0000019 -0.0000044 
0.0000010 0.0000100 0.0000031 -0.0000038 
-0.0000061 0.0000089 0.0000049 0.0000007 
-0.0000114 0.0000024 0.0000022 0.0000043 
-0.0000101 -0.0000070 -0.0000017 0.0000040 
-0.0000016 -0.0000126 -0.0000031 0.0000014 
0.0000084 -0.0000095 -0.0000024 -0.0000000 
0.0000122 -0.0000001 -0.0000025 -0.0000002 
0.0000080 0.0000083 -0.0000034 -0.0000019 
0.0000001 0.0000107 -0.0000020 -0.0000052 
-0.0000063 0.0000080 0.0000028 -0.0000062 
-0.0000100 0.0000027 0.0000072 -0.0000023 
-0.0000105 -0.0000043 0.0000066 0.0000039 
-0.0000058 -0.0000117 0.0000014 0.0000069 
0.0000049 -0.0000141 -0.0000034 0.0000051 
0.0000153 -0.0000061 -0.0000050 0.0000013 
0.0000148 0.0000090 -0.0000043 -0.0000020 
0.0000006 0.0000175 -0.0000018 -0.0000048 
-0.0000149 0.0000085 0.0000034 -0.0000051 
-0.0000135 -0.0000109 0.0000081 0.0000008 
0.0000074 -0.0000183 0.0000042 0.0000107 
0.0000255 0.0000014 -0.0000106 0.0000124 
0.0000127 0.0000324 -0.0000220 -0.0000041 
-0.0000298 0.0000363 -0.0000105 -0.0000276 
-0.0000610 -0.0000081 0.0000223 -0.0000297 
-0.0000340 -0.0000699 0.0000447 0.0000032 
0.0000472 -0.0000828 0.0000251 0.0000456 
0.0001129 -0.0000103 -0.0000278 0.0000516 
0.0000853 0.0001000 -0.0000641 0.0000052 
-0.0000363 0.0001443 -0.0000420 -0.0000546 
-0.0001531 0.0000603 0.0000241 -0.0000684 
-0.0001496 -0.0000963 0.0000731 -0.0000181 
-0.0000103 -0.0001879 0.0000571 0.0000521 
0.0001508 -0.0001232 -0.0000110 0.0000778 
0.0001905 0.0000491 -0.0000706 0.0000361 
0.0000729 0.0001798 -0.0000708 -0.0000360 
-0.0000965 0.0001595 -0.0000136 -0.0000780 
-0.0001730 0.0000176 0.0000532 -0.0000578 
-0.0001070 -0.0001148 0.0000776 0.0000062 
0.0000230 -0.0001343 0.0000425 0.0000640 
0.0001000 -0.0000523 -0.0000240 0.0000718 
0.0000793 0.0000374 -0.0000702 0.0000239 
0.0000118 0.0000610 -0.0000591 -0.0000412 
-0.0000269 0.0000261 -0.0000000 -0.0000694 
-0.0000140 -0.0000075 0.0000553 -0.0000364 
0.0000121 -0.0000015 0.0000569 0.0000268 
0.0000078 0.0000256 0.0000045 0.0000597 
-0.0000256 0.0000301 -0.0000488 0.0000307 
-0.0000481 -0.0000031 -0.0000486 -0.0000293 
-0.0000295 -0.0000436 0.0000044 -0.0000571 
0.0000163 -0.0000503 0.0000541 -0.0000231 
0.0000464 -0.0000165 0.0000478 0.0000375 
0.0000350 0.0000240 -0.0000086 0.0000619 
-0.0000009 0.0000332 -0.0000581 0.0000253 
-0.0000215 0.0000094 -0.0000526 -0.0000352 
-0.0000085 -0.0000144 0.0000002 -0.0000618 
0.0000167 -0.0000087 0.0000487 -0.0000334 
0.0000190 0.0000195 0.0000517 0.0000190 
-0.0000101 0.0000349 0.0000139 0.0000481 
-0.0000419 0.0000141 -0.0000265 0.0000353 
-0.0000412 -0.0000281 -0.0000377 0.0000006 
-0.0000036 -0.0000529 -0.0000197 -0.0000238 
0.0000397 -0.0000365 0.0000045 -0.0000235 
0.0000521 0.0000077 0.0000148 -0.0000085 
0.0000253 0.0000429 0.0000099 0.0000031 
-0.0000163 0.0000428 0.0000022 0.0000034 
-0.0000393 0.0000121 0.0000021 -0.0000011 
-0.0000295 -0.0000212 0.0000074 0.0000001 
-0.0000001 -0.0000318 0.0000082 0.0000086 
0.0000230 -0.0000160 -0.0000012 0.0000154 
0.0000232 0.0000091 -0.0000144 0.0000109 
0.0000047 0.0000223 -0.0000190 -0.0000040 
-0.0000149 0.0000152 -0.0000095 -0.0000171 
-0.0000199 -0.0000033 0.0000065 -0.0000174 
-0.0000088 -0.0000170 0.0000155 -0.0000057 
0.0000075 -0.0000165 0.0000118 0.0000067 
0.0000163 -0.0000044 0.0000018 0.0000100 
0.0000129 0.0000087 -0.0000043 0.0000050 
0.0000019 0.0000140 -0.0000031 -0.0000002 
-0.0000083 0.0000098 0.0000004 -0.0000003 
-0.0000116 0.0000002 0.0000004 0.0000025 
-0.0000069 -0.0000079 -0.0000028 0.0000031 
0.0000016 -0.0000094 -0.0000052 0.0000000 
0.0000078 -0.0000039 -0.0000038 -0.0000039 
0.0000071 0.0000039 -0.0000002 -0.0000052 
0.0000007 0.0000077 0.0000029 -0.0000037 
-0.0000057 0.0000046 0.0000039 -0.0000010 
-0.0000068 -0.0000020 0.0000033 0.0000013 
-0.0000021 -0.0000063 0.0000017 0.0000025 
0.0000034 -0.0000050 -0.0000000 0.0000026 
0.0000053 -0.0000003 -0.0000013 0.0000017 
0.0000029 0.0000032 -0.0000015 0.0000005 
-0.0000005 0.0000032 -0.0000009 -0.0000001 
-0.0000019 0.0000011 -0.0000006 -0.0000001 
-0.0000010 -0.0000004 -0.0000007 -0.0000000 
0.0000001 -0.0000003 -0.0000009 -0.0000004 
0.0000000 0.0000005 -0.0000006 -0.0000010 
-0.0000007 0.0000006 0.0000002 -0.0000012 
-0.0000011 -0.0000001 0.0000007 -0.0000008 
-0.0000008 -0.0000009 0.0000008 -0.0000003 
-0.0000001 -0.0000010 0.0000007 -0.0000000 
0.0000004 -0.0000007 0.0000007 0.0000002 
0.0000005 -0.0000005 0.0000006 0.0000005 
0.0000006 -0.0000004 0.0000003 0.0000008 
0.0000009 -0.0000001 -0.0000002 0.0000008 
0.0000009 0.0000004 -0.0000004 0.0000006 
0.0000005 0.0000009 -0.0000006 0.0000003 
-0.0000000 0.0000009 -0.0000007 0.0000001 
-0.0000004 0.0000007 -0.0000007 -0.0000002 
-0.0000006 0.0000004 -0.0000005 -0.0000006 
-0.0000007 0.0000002 -0.0000001 -0.0000007 
-0.0000008 -0.0000001 0.0000002 -0.0000006 
-0.0000007 -0.0000006 0.0000003 -0.0000005 
-0.0000003 -0.0000009 0.0000005 -0.0000003 
0.0000002 -0.0000009 0.0000007 -0.0000001 
0.0000005 -0.0000006 0.0000006 0.0000003 
0.0000007 -0.0000003 0.0000004 0.0000006 
0.0000008 0.0000000 0.0000000 0.0000006 
0.0000007 0.0000004 -0.0000002 0.0000005 
0.0000004 0.0000007 -0.0000003 0.0000004 
-0.0000001 0.0000007 -0.0000005 0.0000003 
-0.0000004 0.0000005 -0.0000006 0.0000000 
-0.0000004 0.0000003 -0.0000006 -0.0000003 
-0.0000004 0.0000002 -0.0000003 -0.0000006 
-0.0000006 0.0000001 0.0000000 -0.0000006 
-0.0000006 -0.0000003 0.0000002 -0.0000005 
-0.0000004 -0.0000006 0.0000004 -0.0000004 
0.0000000 -0.0000007 0.0000006 -0.0000002 
0.0000003 -0.0000005 0.0000006 0.0000001 
0.0000004 -0.0000003 0.0000005 0.0000005 
0.0000005 -0.0000002 0.0000001 0.0000006 
0.0000007 0.0000000 -0.0000001 0.0000005 
0.0000006 0.0000004 -0.0000003 0.0000004 
0.0000002 0.0000008 -0.0000004 0.0000003 
-0.0000002 0.0000007 -0.0000006 0.0000001 
-0.0000005 0.0000004 -0.0000006 -0.0000002 
-0.0000005 0.0000001 -0.0000004 -0.0000005 
-0.0000004 0.0000000 -0.0000000 -0.0000006 
-0.0000005 -0.0000001 0.0000002 -0.0000004 
-0.0000005 -0.0000004 0.0000003 -0.0000003 
-0.0000002 -0.0000007 0.0000004 -0.0000002 
0.0000003 -0.0000007 0.0000006 -0.0000000 
0.0000006 -0.0000004 0.0000005 0.0000003 
0.0000006 -0.0000000 0.0000003 0.0000005 
0.0000005 0.0000002 -0.0000000 0.0000006 
0.0000003 0.0000003 -0.0000003 0.0000004 
0.0000001 0.0000004 -0.0000004 0.0000003 
-0.0000000 0.0000004 -0.0000005 0.0000001 
-0.0000001 0.0000004 -0.0000005 -0.0000002 
-0.0000002 0.0000003 -0.0000003 -0.0000004 
-0.0000004 0.0000003 -0.0000000 -0.0000005 
-0.0000006 0.0000001 0.0000001 -0.0000004 
-0.0000006 -0.0000003 0.0000002 -0.0000003 
-0.0000004 -0.0000005 0.0000003 -0.0000002 
-0.0000001 -0.0000006 0.0000004 -0.0000001 
0.0000002 -0.0000007 0.0000004 0.0000002 
0.0000006 -0.0000006 0.0000002 0.0000004 
0.0000009 -0.0000002 -0.0000000 0.0000004 
0.0000009 0.0000005 -0.0000001 0.0000003 
0.0000004 0.0000011 -0.0000002 0.0000002 
-0.0000005 0.0000010 -0.0000003 0.0000002 
-0.0000009 0.0000003 -0.0000004 0.0000001 
-0.0000006 -0.0000004 -0.0000005 -0.0000002 
-0.0000001 -0.0000005 -0.0000003 -0.0000004 
0.0000001 -0.0000001 -0.0000001 -0.0000005 
-0.0000001 0.0000001 0.0000002 -0.0000005 
-0.0000003 -0.0000001 0.0000004 -0.0000003 
-0.0000002 -0.0000004 0.0000005 -0.0000001 
0.0000001 -0.0000004 0.0000006 0.0000002 
0.0000003 -0.0000003 0.0000003 0.0000005 
0.0000004 -0.0000001 -0.0000000 0.0000005 
0.0000003 0.0000001 -0.0000003 0.0000004 
0.0000003 0.0000002 -0.0000003 0.0000001 
0.0000001 0.0000004 -0.0000003 0.0000000 
-0.0000001 0.0000004 -0.0000003 -0.0000000 
-0.0000002 0.0000003 -0.0000003 -0.0000001 
-0.0000003 0.0000001 -0.0000002 -0.0000003 
-0.0000003 0.0000000 -0.0000000 -0.0000003 
-0.0000003 -0.0000001 0.0000001 -0.0000003 
-0.0000003 -0.0000003 0.0000002 -0.0000002 
-0.0000001 -0.0000004 0.0000003 -0.0000001 
0.0000001 -0.0000004 0.0000003 0.0000000 
0.0000002 -0.0000003 0.0000003 0.0000002 
0.0000003 -0.0000002 0.0000002 0.0000003 
0.0000004 -0.0000000 -0.0000000 0.0000003 
0.0000004 0.0000002 -0.0000002 0.0000002 
0.0000002 0.0000004 -0.0000002 0.0000002 
-0.0000000 0.0000004 -0.0000003 0.0000001 
-0.0000002 0.0000003 -0.0000003 -0.0000000 
-0.0000003 0.0000002 -0.0000003 -0.0000002 
-0.0000003 0.0000001 -0.0000001 -0.0000003 
-0.0000004 -0.0000000 0.0000001 -0.0000003 
-0.0000004 -0.0000002 0.0000002 -0.0000002 
-0.0000002 -0.0000004 0.0000002 -0.0000002 
0.0000001 -0.0000004 0.0000003 -0.0000000 
0.0000003 -0.0000003 0.0000003 0.0000001 
0.0000003 -0.0000001 0.0000002 0.0000003 
0.0000003 -0.0000000 -0.0000000 0.0000003 
0.0000003 0.0000001 -0.0000001 0.0000002 
0.0000003 0.0000003 -0.0000002 0.0000002 
0.0000001 0.0000004 -0.0000002 0.0000001 
-0.0000002 0.0000003 -0.0000003 0.0000000 
-0.0000003 0.0000002 -0.0000003 -0.0000002 
